,Methods,SOD,SDD,Rotating Angles,Entropy,SSIM,MAE,RMSE,Relative Error,ZNCC,Time
0,Nelder-Mead,-148553.0,-3138.2706596309067,"[ 1.25846840e+02  2.04229837e+02  7.26176445e+01 -2.81120410e+01
 -2.00123294e+00  1.47825960e+01 -3.18886981e+01 -5.63686967e+01
  3.57224880e+01 -6.29631274e+01  2.61396580e+01 -7.85216905e+01
  6.37528043e+01 -2.80228816e+01  6.23231678e+00  6.20314934e+02
 -1.26891623e+01  2.51555521e+02  7.28991171e+00 -1.77901248e-01
 -1.42117155e+01  1.60674535e+02]",0.0013550481940270062,0.2944537592597061,139.23118502968768,147.7540344831795,0.6086161614199405,0.0027251274236630048,28.674800395965576
1,Nelder-Mead,276.0,18.069584557642948,"[ 8.10344747e+00  1.13202832e+01 -9.20790329e+01  4.11160648e+00
 -9.33434539e+00 -1.39702158e+00  1.33464825e+01  1.84381733e-01
 -1.59377910e+01 -1.25066407e+02 -1.28776621e-01  7.71296513e+01
 -4.86901372e+01  7.91568709e+01 -1.09005290e+01 -3.56189444e+00
  1.30493277e+02  1.26463614e+01  9.67309854e-02 -2.08961993e+01
  7.90316929e-01  3.10781957e+01]",0.013503003348840668,0.29445370485566863,139.23118838890028,147.75403755457975,0.6086161770461732,0.002303195836832733,28.549174308776855
2,Nelder-Mead,-491392.0,-8922.314217858726,"[  -5.47718072   10.76059982 -717.99017676 -112.65758072  188.5191578
  -37.70900152  190.19807026  -68.77670135 -359.07964031  -14.61070446
   20.49287589  -85.33174524   83.7247786   -19.93871338  -99.61466032
 -107.22525657  -23.33909348 -271.65733983   -1.30257799  721.63302846
  -79.09026179   37.38378959]",0.0010351527518926856,0.2944537309402528,139.23118490628744,147.754034391579,0.6086161607686272,0.0018957732440517607,30.50721764564514
3,Nelder-Mead,1018836.0,16428.635416066252,"[-3.28631615e+00 -1.29055307e+02 -2.43517955e+01  1.75556790e+01
  2.48962512e+02 -9.86332651e+00 -7.33241032e-01  1.87256048e+02
  3.50973718e+01 -1.04013350e+02  2.58018610e+02  6.96170401e+01
 -2.47433531e+01  5.10287074e+02 -6.59023100e+01  4.24036892e+02
  2.06538854e-01 -2.53431227e+01 -2.72537401e+01 -1.10024878e+01
 -1.83424616e+01  5.35652610e+02]",0.0008368545717391901,0.29445371003466536,139.23118485943027,147.75403434931167,0.6086161605495074,0.0022839961155198996,26.349855661392212
4,Nelder-Mead,1514703.0,24570.588964037357,"[ 1.15616919e+01  6.77940533e+01 -1.61093082e+02  5.29037461e+01
  5.30304401e+01  2.19684181e-01 -1.33488618e+01 -4.42499233e+01
  1.67641983e+02  2.65730439e+01  1.17440780e+02 -7.76056098e+00
 -1.90279358e+02  1.36181018e+02 -7.71336752e+01  4.40669036e+02
  1.15246226e+02 -8.28046215e+00  2.69649317e+01  2.61424143e+02
  1.63368815e+01  3.06437620e+01]",0.00047874137695400764,0.2944537099306661,139.23118484089113,147.75403433850988,0.6086161604407584,0.001368595214067541,30.5933678150177
5,Nelder-Mead,967319.0,17591.696285354028,"[  349.33671644 -1241.43560745   111.15801249    43.89168228
  -183.81554761   -18.49266786    -2.34409683  -233.09304585
   106.08830869    15.59561192   -39.44094872    -9.24557568
   -13.2487004   -224.3127529    -41.32929152  -137.21014477
   -45.3678546    -41.36185865   -57.53573001   -52.26278381
   165.67028431 -1350.33902429]",0.0010163909422229828,0.2944537124151326,139.23118492322587,147.75403442308428,0.6086161607919703,0.0009524583011739633,28.26227617263794
6,Nelder-Mead,35.0,2.161917886770853,"[   3.85890669   -4.91095313  -17.92858978   -6.98831705   -2.21312128
  -20.40642288   -2.08199724  157.50335356  -12.35560273   67.54625516
  -38.53208918    5.11502981    1.52852911   10.08488199    0.45720943
 -102.42972632  -24.79082655  -84.22214396    5.2778857     2.24600601
    0.85506149   -1.67250324]",0.014879371741752592,0.2944536007160814,139.23118810987216,147.75403723893555,0.6086161759543299,0.003799196954076689,31.808940410614014
7,Nelder-Mead,244639.0,4448.561634593612,"[ 111.37313848  -79.7583857   175.80056391  288.74489121  -15.74320821
  -77.38267377   -5.15254477   44.01649071 -113.13951265 -635.74118936
   22.18865811  688.78126054  -77.06531606    7.02949689   -6.74083102
   57.23673747   -9.61271821 -122.20110069   32.13266375 -166.41724451
  273.27662358   66.04633405]",0.001013501055481068,0.29445370804438775,139.23118496352495,147.75403442338524,0.6086161611089681,0.0029584376629881366,29.93139410018921
8,Nelder-Mead,2485859.0,42122.884179592635,"[ -68.89743753   24.92306462 -102.88192321   13.3423366   319.11540599
   -9.79636308  -25.03952471  -74.85080009   35.1063785    18.01786217
  202.46962384   53.96701054   13.62666372    3.81371253   -3.34078509
   -1.01439878  466.46907845  171.92729112   -2.60579176   58.8784587
  -44.72646748  304.01020597]",0.0007136839765363986,0.2944536913782074,139.23118491578498,147.75403442029634,0.6086161607437574,0.0005860904274696718,26.819711446762085
9,Nelder-Mead,303352.0,4941.425044813467,"[  144.85325871  -521.39469603   249.39096145    -9.70424987
   -10.01736791    37.05319968   -43.33963602    79.80333443
  -191.08549314    44.28869116    55.94115717   155.2526609
    15.33718653   161.93968889    -2.81150685   768.26689021
   168.89560587 -1788.70107719   -78.10899477    33.60198242
    37.52926621   235.4289289 ]",0.0007107940641341028,0.2944537335333054,139.23118482686309,147.75403431748703,0.608616160406566,0.00231379264745798,24.531671047210693
10,Nelder-Mead,255133.0,4265.591843190033,"[  13.00410569   -3.25156643 -379.04803278  390.2454743  -124.85177335
   57.93081685   66.39145768  -45.4260919  -167.51868788   12.22035683
  -25.1154312  -187.97952099   43.75801561 -105.91010046   14.38731598
 1355.92628091  -13.86116426  251.40511504  -37.45765401 -106.25918438
  -60.91088913  255.57642904]",0.0009867630937160008,0.2944537241835739,139.23118489444218,147.75403438346328,0.6086161607039298,0.001855139358665104,26.188735485076904
11,Nelder-Mead,1527548.0,27650.53910345811,"[  99.11176442 -909.60002576  -12.54690417 -100.66182018 -258.40049731
   -9.12996086 -114.63979453  -66.92781346  242.18750464   -6.76092432
  -30.18663534 -285.84749473 -170.49751897  191.34543582   -4.54192968
 -144.57941584  -31.54068351  138.48186804   91.58018092  -21.39181012
   53.68577459   -0.9850819 ]",0.0010052585270845305,0.2944536841572756,139.2311849090717,147.75403441318818,0.6086161607159332,0.0007629745531001217,24.560614347457886
12,Nelder-Mead,-58.0,-9.497603091771417,"[ 1.65617748e+01  3.44331475e-01 -4.42754972e+01 -2.20296744e+00
 -3.80092694e+00 -4.35338071e+00 -3.95729556e+00 -1.68549123e+01
 -3.45744600e-01 -2.40747643e+01  1.95550600e+00 -6.92688799e+00
 -2.32086013e+01 -2.91257052e+00  2.51640874e-02  1.93528424e+01
 -2.79412134e+01 -3.18465701e+00 -2.22385505e+00  1.96283788e+00
  8.79085383e-01 -4.49817492e+01]",0.08033128247439582,0.2944538223865339,139.2312078459363,147.75405067771803,0.608616288570727,0.03925267661992949,29.342788457870483
13,Nelder-Mead,-359446.0,-5817.609312405293,"[ 8.93356465e+01  5.97598144e+02 -6.24819662e+01  8.19567680e+00
 -1.36863953e+02 -1.68278505e+01  9.55972707e+00 -1.70198781e+02
  2.32536517e+00  9.38984331e+01  9.06813251e+00 -9.91704405e-02
 -8.22070056e+01  1.16159649e+02 -2.29278650e+01  6.21990152e+02
  1.14878840e+03 -2.73561801e+01  1.67785955e+01 -2.00515137e+02
  2.01922068e+02  1.79859117e-01]",0.0005080225145518457,0.2944537210740834,139.23118485402665,147.7540343413196,0.6086161605352965,0.0017938703866080068,27.361582040786743
14,Nelder-Mead,117791.0,1558.7978941254705,"[ 68.9181429   -3.747399   -66.24095014 -25.87635755 158.22183864
  -5.7082389   11.38962307  53.54459946   4.14766984   3.81821963
 163.78502256 251.35162265  57.87843014 152.99870043 108.29484765
 -88.99925114  34.36033977 250.03369522  32.08875092 542.15420215
 -19.12038913  26.8924011 ]",0.00040107047620602747,0.2944536974606848,139.23118479865175,147.75403431311003,0.6086161601981706,0.0005116943328929336,24.389925956726074
